r01	pi-jev-model-router: Jev judges the task, code owns the budget — model routing with daily spend caps
r02	SeeAPI: context compaction by filtering — keep, truncate, or exclude context blocks
r03	browser-use/jev-ultrafast: dynamic action space for browser agents, clicks never touch an LLM
r04	aidxn: cheap models as always-on watchers — the expensive model thinks, the cheap model stares
r05	Maximem: a map of decision seams — where NOT to put a classifier in an agent
r06	uehaj/herdr-jev-prompt-router: one Jev question routes prompts across workspace panes
r07	classifier.dev smart tier: re-ask only what the model was unsure about
r08	Banana bread recipe — the only chocolate-chip recipe you need this fall
r09	Fantasy football week 3: waiver wire targets and start-sit advice
r10	Stream the Super Bowl for free — 2026 guide
r11	Pydantic AI TypeSafeModel: every output_type field becomes one Jev question
r12	mizchi/jev-lint: 1,950 natural-language lint checks in one batched request, $0.055
