r01	pi-jev-model-router: Jev judges the task, code owns the budget — model routing with daily spend caps pi-jev-model-router v0.2.0: One Jev request with 4 parallel questions before every turn: task_kind (Choice), complexity (Score), capability_deserved (Score), needs_deep_reasoning (Noul). Then: demand = 0.55*complexity + 0.45*capability (+ reasoning nudge); demand = max(demand, kind floor) # planning/review never go cheap; confidence guard -> budget guard -> availability guard -> cache guard. "Jev judges the task, code owns the budget." Daily/monthly spend caps auto-downgrade tiers; fails open on missing key/timeout.

r02	SeeAPI: context compaction by filtering — keep, truncate, or exclude context blocks SeeAPI — Jev context compaction: use a fast decision model to keep, truncate, or exclude individual context blocks while leaving retained evidence unchanged. Questions like "Is this result required for the active goal?" / "Does it contain a unique constraint or error?" Hybrid: filter repeatable noise, pin critical evidence verbatim, summarize the narrative core. Caveat: "No official source proves that Jev context compaction improves end-to-end agent success. Treat social compression ratios as hypotheses until reproduced."

r03	browser-use/jev-ultrafast: dynamic action space for browser agents, clicks never touch an LLM browser-use/jev-ultrafast: indexing the live page into a dynamic action space, then asking Jev to pick both the operation and the target element. A small LLM is invoked only for TYPE_TEXT operations. Everything else — click, scroll, select — never touches a generative model.

r04	aidxn: cheap models as always-on watchers — the expensive model thinks, the cheap model stares aidxn.com — cheap models as always-on watchers: "The expensive model does the thinking, the cheap model does the staring." tail -f dev.log | grep -Ei 'error|failed', then a small model reads the matches and answers one question: did anything actually explode. A Haiku-class model does it perfectly and costs a rounding error to leave on all day. Wire it as a notification, not a report.

r05	Maximem: a map of decision seams — where NOT to put a classifier in an agent Maximem — a map of decision seams: "can you write down every possible answer before seeing the input, and does code do something different for each one? If the answer is a sentence, it is not a seam." Warns most disappointment comes from pointing Jev at whole use cases instead of individual seams. 11 seams mapped.

r06	uehaj/herdr-jev-prompt-router: one Jev question routes prompts across workspace panes uehaj herdr-jev-prompt-router: 273-line, zero-dependency TypeScript router. Asks Jev ONE Choice question to decide which of 5-10 open herdr workspaces a prompt should go to, then places the text in that pane's input (does NOT press Enter — human keeps the send decision). "Make criteria keys machine IDs and values the LLM-facing description; the answer comes back usable as a key directly."

r07	classifier.dev smart tier: re-ask only what the model was unsure about classifier.dev smart tier: re-asks only what Jev was unsure about. +2.5 points on AG News (+18.4 on unsure items), +1.0 on emotion (+4.9 on unsure). Jev alone: AG News 87.5% (65.3% unsure); smart tier 90.0% (83.7% unsure). CLI: classify relevant,"not relevant" --review 0.7 < snippets.txt — only the unsure ones re-asked. 1000 lines/request.

r08	Banana bread recipe — the only chocolate-chip recipe you need this fall This recipe has been tested dozens of times in our test kitchen and adapted for high altitude baking as well. For best results choose bananas that are heavily speckled with brown spots as the starch has fully converted to sugar which gives the bread its natural sweetness without adding extra refined sugar to the batter. Room temperature ingredients blend more evenly so pull your butter and eggs from the refrigerator about thirty minutes before you begin mixing. The secret to a moist crumb is avoiding overmixing once the flour goes in; stir just until the streaks disappear. Line your loaf pan w
r09	Fantasy football week 3: waiver wire targets and start-sit advice Welcome back to another week of fantasy football coverage where we break down every matchup and every waiver add that matters. The running back position is decimated by injuries again this week so we are digging deep into the transaction wire for upside plays. The defense streamers section has your weekly plug and play options ranked by matchup grade. Our start-sit advice column tackles the tough calls in your lineup including that tricky flex spot where two similar players are competing for one position. The trade analyzer section looks at buy-low candidates whose managers may be panicking af
r10	Stream the Super Bowl for free — 2026 guide Cord cutting guide updated for the new season. The big game streams free with an antenna in most markets but for viewers without broadcast reception there are several free trial windows you can stack across the major streaming platforms. Sign up timing matters because most trials run seven days and you want coverage through the Sunday broadcast plus the pregame shows. We break down which services carry the local affiliate feed in your region and which impose data caps or resolution limits on their base tiers. For international viewers the broadcast rights differ by country and a VPN may be nee
r11	Pydantic AI TypeSafeModel: every output_type field becomes one Jev question Pydantic AI TypeSafeModel: each output_type field becomes one Jev question; the same agent definition runs on an LLM by changing the model string. Guidance: "the prompt is only what is being judged, and the question belongs on the output type."

r12	mizchi/jev-lint: 1,950 natural-language lint checks in one batched request, $0.055 mizchi/jev-lint: ast-grep extracts code fragments; Jev scores natural-language rules in batch. 1,220 questions confirmed through one request. 9,800 lines, 23 rules, 1,950 subjects in 7.7s for ~$0.055; per-diff check ~$0.00015. --group auto estimates cheaper batching; --record + replay re-scores at new thresholds.

